全 部,#genre#
东南卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225573/10000100000000060000000000915785_0.smil
大湾区卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225982/10000100000000060000000003082391_0.smil
家有购物（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225565/10000100000000060000000000674479_0.smil
青海卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225966/10000100000000060000000003082383_0.smil
海南卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225968/10000100000000060000000003082384_0.smil
厦门卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225972/10000100000000060000000003082386_0.smil
中国交通频道·贵州,rtsp://10.11.187.39/PLTV/88888888/224/3221225990/10000100000000060000000003606753_0.smil
财富天下,rtsp://10.11.187.39/PLTV/88888888/224/3221225858/10000100000000060000000002628075_0.smil
山东教育卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225970/10000100000000060000000003082385_0.smil
延边卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225900/10000100000000060000000003039877_0.smil
三沙卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221226104/381678349.smil
兵团卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225904/10000100000000060000000003039879_0.smil
BRTV  KAKU少儿,rtsp://10.11.187.39/PLTV/88888888/224/3221225655/10000100000000060000000002538026_0.smil
金鹰卡通（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225790/10000100000000060000000002562881_0.smil
嘉佳卡通,rtsp://10.11.187.39/PLTV/88888888/224/3221225792/10000100000000060000000002563545_0.smil
优漫卡通,rtsp://10.11.187.39/PLTV/88888888/224/3221225898/10000100000000060000000003039876_0.smil
哈哈炫动,rtsp://10.11.187.39/PLTV/88888888/224/3221225902/10000100000000060000000003039878_0.smil
农林卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225906/10000100000000060000000003039880_0.smil
康巴卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225908/10000100000000060000000003039881_0.smil
安多卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225910/10000100000000060000000003039882_0.smil
西藏藏语卫视,rtsp://10.11.187.39/PLTV/88888888/224/3221225912/10000100000000060000000003039883_0.smil
